"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 04 11:02:25 CST 2024","Sun Aug 04 11:02:46 CST 2024","21125","","test_createclass","Test1","","","创建技能项目并加入班级",""
"passed","Sun Aug 04 11:02:46 CST 2024","Sun Aug 04 11:02:48 CST 2024","2132","","test_createclass","Test1","","","查看学生是否加入班级",""
